,protein_abundance
b1923,157.0
b1924,6.0
b1925,22.0
b1926,5.0
b1927,398.0
b1928,1276.0
b1929,392.0
b1930,735.0
b1931,34.0
b1932,217.0
b1937,14.0
b1938,1.0
b1939,2.0
b1940,2.0
b1941,1.0
b1942,1.0
b1943,5.0
b1944,8.0
b1945,7.0
b1946,12.0
b1947,1.0
b1948,1.0
b1949,1.0
b1950,2.0
b1951,74.0
b1952,714.0
b1953,424.0
b1955,227.0
b1956,42.0
b1957,268.0
b1958,161.0
b1959,4.0
b1960,39.0
b1961,162.0
b1962,85.0
b1963,191.0
b1967,1879.0
b1968,43.0
b1969,80.0
b1971,85.0
b1972,27.0
b1973,20357.0
b1974,75.0
b1976,230.0
b1978,5.0
b1981,163.0
b1982,1104.0
b1983,1618.0
b1985,13.0
b1987,372.0
b1988,130.0
b1990,183.0
b1991,109.0
b1992,149.0
b1993,52.0
b2000,123.0
b2001,3.0
b2002,0.0
b2003,1.0
b2004,0.0
b2005,2.0
b2007,6787.0
b2008,24.0
b2009,226.0
b2010,6.0
b2011,159.0
b2012,2008.0
b2013,290.0
b2014,1081.0
b2015,12.0
b2016,600.0
b2017,722.0
b2018,640.0
b2019,2567.0
b2020,1353.0
b2021,1453.0
b2022,1721.0
b2023,1212.0
b2024,739.0
b2025,989.0
b2026,2042.0
b2027,1434.0
b2028,49.0
b2029,9767.0
b2032,380.0
b2033,367.0
b2034,1045.0
b2035,109.0
b2036,1796.0
b2037,192.0
b2039,1372.0
b2040,821.0
b2041,1257.0
b2042,2808.0
b2043,7.0
b2044,5.0
b2045,10.0
b2046,0.0
b2047,1.0
b2048,8.0
b2049,4.0
b2050,0.0
b2051,2.0
b2052,4.0
b2053,17.0
b2054,1.0
b2055,2.0
b2056,0.0
b2057,1.0
b2058,1.0
b2059,3.0
b2060,1.0
b2061,1.0
b2062,2.0
b2063,59.0
b2064,75.0
b2065,819.0
b2066,468.0
b2067,26.0
b2068,37.0
b2069,70.0
b2070,2.0
b2071,9.0
b2072,0.0
b2073,1.0
b2074,40.0
b2075,20.0
b2076,11.0
b2077,7.0
b2078,23.0
b2079,226.0
b2080,1974.0
b2081,620.0
b2082,323.0
b2085,51.0
b2086,170.0
b2091,2360.0
b2092,3222.0
b2093,2860.0
b2094,3865.0
b2095,6372.0
b2096,9086.0
b2097,2753.0
b2098,7.0
b2099,34.0
b2100,12.0
b2101,92.0
b2102,4.0
b2103,754.0
b2104,978.0
b2105,700.0
b2106,360.0
b2107,504.0
b2108,2.0
b2109,1.0
b2110,0.0
b2111,11.0
b2112,633.0
b2113,1391.0
b2114,1864.0
b2118,3.0
b2119,1.0
b2120,0.0
b2121,1.0
b2123,12.0
b2124,136.0
b2125,52.0
b2126,18.0
b2127,49.0
b2128,33.0
b2129,65.0
b2130,28.0
b2131,410.0
b2132,227.0
b2133,1068.0
b2134,242.0
b2135,49.0
b2136,60.0
b2137,100.0
b2140,25.0
b2141,25.0
b2142,24.0
b2143,287.0
b2144,52.0
b2145,103.0
b2146,14.0
b2147,14.0
b2148,57.0
b2149,83.0
b2150,448.0
b2151,8.0
b2152,50.0
b2153,9024.0
b2154,987.0
b2155,79.0
b2156,938.0
b2157,111.0
b2158,46.0
b2159,436.0
b2160,20.0
b2161,1.0
b2162,1.0
b2163,6.0
b2167,179.0
b2168,155.0
b2169,495.0
b2170,2.0
b2171,1752.0
b2172,48.0
b2173,149.0
b2174,84.0
b2176,41.0
b2177,59.0
b2178,20.0
b2179,26.0
b2180,31.0
b2181,834.0
b2182,78.0
b2183,754.0
b2184,43.0
b2185,19540.0
b2186,578.0
b2187,1749.0
b2188,106.0
b2193,356.0
b2194,34.0
b2195,27.0
b2196,14.0
b2197,58.0
b2198,76.0
b2199,65.0
b2200,12.0
b2201,23.0
b2202,18.0
b2203,56.0
b2204,6.0
b2205,8.0
b2206,57.0
b2207,8.0
b2208,3.0
b2209,182.0
b2210,287.0
b2211,84.0
b2212,17.0
b2213,15.0
b2214,17.0
b2215,52929.0
b2216,179.0
b2217,2820.0
b2218,70.0
b2219,3.0
b2220,32.0
b2221,0.0
b2222,0.0
b2223,0.0
b2224,3.0
b2225,2.0
b2226,0.0
b2229,0.0
b2230,1.0
b2231,1407.0
b2232,882.0
b2233,3.0
b2234,904.0
b2235,954.0
b2236,89.0
b2237,234.0
b2239,31.0
b2240,2.0
b2241,0.0
b2242,0.0
b2243,5.0
b2244,86.0
b2249,182.0
b2250,269.0
b2251,68.0
b2252,176.0
b2253,389.0
b2254,248.0
b2255,317.0
b2256,39.0
b2257,14.0
b2258,18.0
b2259,147.0
b2260,38.0
b2261,147.0
b2262,1235.0
b2263,14.0
b2264,44.0
b2265,67.0
b2266,11477.0
b2267,425.0
b2268,153.0
b2269,11.0
b2270,3.0
b2271,1.0
b2272,11.0
b2273,3.0
b2274,10.0
b2275,8.0
b2276,682.0
b2277,576.0
b2278,510.0
b2279,592.0
b2280,529.0
b2281,926.0
b2282,626.0
b2283,1173.0
b2284,1034.0
b2285,1650.0
b2286,1164.0
b2287,1617.0
b2289,174.0
b2290,533.0
b2291,252.0
b2292,13.0
b2293,289.0
b2294,2226.0
b2295,489.0
b2296,1197.0
b2297,1157.0
b2298,0.0
b2299,1385.0
b2300,664.0
b2301,253.0
b2302,216.0
b2303,2140.0
b2304,287.0
b2305,31.0
b2306,348.0
b2307,142.0
b2308,154.0
b2309,5085.0
b2310,2939.0
b2311,124.0
b2312,2061.0
b2313,106.0
b2314,204.0
b2315,342.0
b2316,2475.0
b2317,214.0
b2318,120.0
b2319,578.0
b2320,733.0
b2321,81.0
b2322,21.0
b2323,3376.0
b2324,52.0
b2325,946.0
b2326,116.0
b2327,84.0
b2328,273.0
b2329,819.0
b2330,939.0
b2331,236.0
b2332,79.0
b2333,3.0
b2334,3.0
b2335,1.0
b2336,1.0
b2339,0.0
b2340,599.0
b2341,37.0
b2342,39.0
b2343,1233.0
b2344,416.0
b2345,15.0
b2346,770.0
b2347,129.0
b2349,111.0
b2354,20.0
b2357,0.0
b2359,9.0
b2360,46.0
b2361,0.0
b2362,3.0
b2363,1.0
b2365,2.0
b2366,131.0
b2367,2.0
b2368,3.0
b2369,420.0
b2370,69.0
b2371,6.0
b2372,2.0
b2373,8.0
b2374,21.0
b2375,33.0
b2376,3.0
b2377,101.0
b2378,6.0
b2379,361.0
b2380,13.0
b2381,103.0
b2382,14.0
b2383,4.0
b2384,3.0
b2385,1.0
b2386,0.0
b2387,1.0
b2388,544.0
b2389,20.0
b2390,157.0
b2392,58.0
b2393,484.0
b2395,34.0
b2398,38.0
b2399,77.0
b2400,2554.0
b2405,18.0
b2406,1.0
b2407,4.0
b2408,2.0
b2409,28.0
b2410,105.0
b2411,292.0
b2412,501.0
b2413,189.0
b2414,24492.0
b2415,23646.0
b2416,5491.0
b2417,14155.0
b2418,629.0
b2419,22.0
b2420,13.0
b2421,1411.0
b2422,2214.0
b2423,308.0
b2424,419.0
b2425,2281.0
b2426,114.0
b2427,34.0
b2428,76.0
b2429,6.0
b2430,15.0
b2431,720.0
b2432,257.0
b2433,59.0
b2434,233.0
b2435,290.0
b2436,85.0
b2437,22.0
b2438,40.0
b2439,145.0
b2440,76.0
b2441,101.0
b2442,44.0
b2443,56.0
b2444,0.0
b2445,9.0
b2446,41.0
b2447,40.0
b2448,6.0
b2449,171.0
b2450,356.0
b2451,2.0
b2452,2.0
b2453,2.0
b2454,0.0
b2455,2.0
b2456,0.0
b2457,73.0
b2458,2.0
b2459,1.0
b2460,7.0
b2461,0.0
b2462,0.0
b2463,1019.0
b2464,1399.0
b2465,1215.0
b2466,18.0
b2467,215.0
b2468,4.0
b2469,12.0
b2470,10.0
b2471,559.0
b2472,263.0
b2473,207.0
b2474,29.0
b2475,306.0
b2476,6708.0
b2477,1103.0
b2478,2172.0
b2479,579.0
b2480,5115.0
b2481,0.0
b2482,0.0
b2483,0.0
b2484,0.0
b2485,1.0
b2486,1.0
b2487,4.0
b2488,9.0
b2489,6.0
b2490,4.0
b2491,0.0
b2492,2.0
b2493,91.0
b2494,228.0
b2495,2194.0
b2496,99.0
b2497,1223.0
b2498,9464.0
b2499,2891.0
b2500,426.0
b2501,244.0
b2502,250.0
b2503,1.0
b2504,882.0
b2505,7.0
b2506,11.0
b2507,3901.0
b2508,5538.0
b2509,267.0
b2510,459.0
b2511,625.0
b2512,1064.0
b2513,905.0
b2514,1118.0
b2515,675.0
b2516,576.0
b2517,544.0
b2518,9782.0
b2519,11.0
b2520,93.0
b2521,517.0
b2522,366.0
b2523,1370.0
b2524,1140.0
b2525,1374.0
b2526,542.0
b2527,416.0
b2528,1974.0
b2529,7019.0
b2530,5500.0
b2531,3324.0
b2532,502.0
b2533,1591.0
b2534,0.0
b2535,32.0
b2536,20.0
b2537,61.0
b2538,10.0
b2539,6.0
b2540,14.0
b2541,11.0
b2542,27.0
b2543,471.0
b2544,12.0
b2545,39.0
b2546,2.0
b2547,0.0
b2548,4.0
b2549,2.0
b2550,25.0
b2551,22684.0
b2552,289.0
b2553,2073.0
b2554,60.0
b2555,70.0
b2556,23.0
b2557,1417.0
b2558,22.0
b2559,106.0
b2560,127.0
b2561,95.0
b2562,209.0
b2563,142.0
b2564,1057.0
b2565,34.0
b2566,610.0
b2567,676.0
b2568,338.0
b2569,987.0
b2570,119.0
b2571,291.0
b2572,1576.0
b2573,212.0
b2574,363.0
b2575,82.0
b2576,559.0
b2577,31.0
b2578,9.0
b2579,2863.0
b2580,439.0
b2581,1001.0
b2582,569.0
b2583,54.0
b2584,33.0
b2585,535.0
b2586,16.0
b2587,3937.0
b2592,1421.0
b2593,176.0
b2594,716.0
b2595,2233.0
b2597,5010.0
b2598,309.0
b2599,862.0
b2600,561.0
b2601,1305.0
b2602,46.0
b2603,24.0
b2604,25.0
b2605,238.0
b2606,26080.0
b2607,318.0
b2608,994.0
b2609,25778.0
b2610,754.0
b2611,161.0
b2614,4731.0
b2615,173.0
b2616,131.0
b2617,1917.0
b2618,273.0
b2619,437.0
b2620,1537.0
b2622,232.0
b2623,58.0
b2624,28.0
b2625,6.0
b2626,5.0
b2627,64.0
b2628,34.0
b2629,2.0
b2630,132.0
b2631,110.0
b2632,6.0
b2633,17.0
b2634,0.0
b2635,2.0
b2636,10.0
b2637,16.0
b2642,51.0
b2643,0.0
b2644,1.0
b2645,2.0
b2646,10.0
b2647,4.0
b2659,111.0
b2660,24.0
b2661,465.0
b2662,369.0
b2663,43.0
b2664,37.0
b2665,3709.0
b2666,1439.0
b2667,32.0
b2668,129.0
b2669,7682.0
b2670,4.0
b2671,246.0
b2672,4734.0
b2673,402.0
b2674,20.0
b2675,30.0
b2676,42.0
b2677,232.0
b2678,146.0
b2679,370.0
b2682,132.0
b2683,94.0
b2684,2625.0
b2685,229.0
b2686,40.0
b2687,9292.0
b2688,502.0
b2689,18.0
b2690,217.0
b2696,7647.0
b2697,1795.0
b2698,17.0
b2699,2926.0
b2700,404.0
b2701,274.0
b2703,9.0
b2704,28.0
b2705,48.0
b2706,11.0
b2707,77.0
b2708,187.0
b2709,36.0
b2710,4.0
b2711,3.0
b2712,14.0
b2713,1.0
b2714,103.0
b2715,1.0
b2716,21.0
b2717,91.0
b2718,18.0
b2719,8.0
b2720,7.0
b2721,6.0
b2722,1.0
b2723,1.0
b2724,1.0
b2725,1.0
b2726,3.0
b2727,54.0
b2728,19.0
b2729,24.0
b2730,38.0
b2731,25.0
b2732,30.0
b2733,150.0
b2734,6.0
b2735,87.0
b2736,6.0
b2737,2.0
b2738,2.0
b2739,25.0
b2740,2.0
b2741,10222.0
b2742,695.0
b2743,167.0
b2744,134.0
b2745,273.0
b2746,445.0
b2747,123.0
b2749,51.0
b2750,957.0
b2751,3066.0
b2752,4115.0
b2753,34.0
b2754,13.0
b2755,13.0
b2756,20.0
b2757,8.0
b2758,26.0
b2759,15.0
b2760,6.0
b2761,2.0
b2762,1579.0
b2763,2569.0
b2764,2057.0
b2765,360.0
b2766,1.0
b2767,5.0
b2768,8.0
b2769,4.0
b2770,5.0
b2771,0.0
b2774,1.0
b2775,0.0
b2776,7.0
b2777,215.0
b2778,2.0
b2779,21234.0
b2780,1874.0
b2781,168.0
b2782,123.0
b2783,229.0
b2784,213.0
b2785,138.0
b2786,56.0
b2787,58.0
b2788,2.0
b2789,0.0
b2790,477.0
b2791,57.0
b2792,192.0
b2793,268.0
b2794,318.0
b2795,387.0
b2796,149.0
b2797,80.0
b2798,58.0
b2799,24.0
b2800,6.0
b2801,0.0
b2802,26.0
b2803,9.0
b2804,723.0
b2805,97.0
b2806,333.0
b2807,276.0
b2808,117.0
b2809,1606.0
b2810,72.0
b2811,181.0
b2812,193.0
b2813,286.0
b2817,68.0
b2818,1129.0
b2819,46.0
b2820,36.0
b2821,140.0
b2822,41.0
b2823,12.0
b2824,1.0
b2825,2.0
b2826,1.0
b2827,651.0
b2828,279.0
b2830,233.0
b2831,37.0
b2832,74.0
b2833,632.0
b2834,872.0
b2835,41.0
b2836,80.0
b2837,96.0
b2838,726.0
b2839,28.0
b2840,207.0
b2841,11.0
b2842,68.0
b2843,22.0
b2844,116.0
b2845,8.0
b2846,5.0
b2847,10.0
b2848,5.0
b2849,1.0
b2851,1.0
b2852,0.0
b2853,5.0
b2865,125.0
b2866,8.0
b2867,15.0
b2868,22.0
b2869,7.0
b2870,0.0
b2871,1.0
b2872,12.0
b2873,2.0
b2874,11.0
b2875,9.0
b2876,0.0
b2877,25.0
b2878,0.0
b2879,0.0
b2880,8.0
b2881,8.0
b2882,3.0
b2883,37.0
b2886,7.0
b2887,1.0
b2888,0.0
b2889,96.0
b2890,2858.0
b2891,1732.0
b2892,118.0
b2893,706.0
b2894,73.0
b2895,559.0
b2896,59.0
b2897,974.0
b2898,1708.0
b2899,40.0
b2900,806.0
b2901,916.0
b2902,37.0
b2903,836.0
b2904,4002.0
b2905,941.0
b2906,210.0
b2907,132.0
b2908,870.0
b2909,878.0
b2910,738.0
b2912,41.0
b2913,19405.0
b2914,2819.0
b2916,624.0
b2917,1.0
b2918,0.0
b2919,23.0
b2920,1.0
b2921,12.0
b2922,1776.0
b2923,88.0
b2924,2927.0
b2925,13978.0
b2926,12205.0
b2927,266.0
b2928,40.0
b2929,34.0
b2930,2.0
b2933,0.0
b2934,2.0
b2935,4690.0
b2936,461.0
b2937,1122.0
b2938,1823.0
b2939,555.0
b2940,0.0
b2942,7214.0
b2943,194.0
b2944,42.0
b2945,7.0
b2946,251.0
b2947,1288.0
b2948,442.0
b2949,130.0
b2950,10.0
b2951,374.0
b2952,383.0
b2953,116.0
b2954,448.0
b2955,99.0
b2956,1.0
b2957,27.0
b2958,319.0
b2959,2486.0
b2960,627.0
b2961,93.0
b2962,2665.0
b2963,148.0
b2964,49.0
b2965,249.0
b2966,17.0
b2968,7.0
b2971,104.0
b2972,10.0
b2975,17.0
b2976,338.0
b2977,278.0
b2979,11.0
b2980,126.0
b2983,0.0
b2984,0.0
b2985,2.0
b2986,0.0
b2987,1.0
b2988,558.0
b2989,1043.0
b2990,74.0
b2991,9.0
b2992,23.0
b2993,26.0
b2994,40.0
b2995,5.0
b2996,10.0
b2997,15.0
b2998,33.0
b3002,585.0
b3003,386.0
b3005,298.0
b3006,777.0
b3008,1256.0
b3009,123.0
b3010,70.0
b3011,309.0
b3012,600.0
b3013,4.0
b3014,8.0
b3017,196.0
b3018,174.0
b3019,320.0
b3020,58.0
b3021,319.0
b3022,47.0
b3023,23.0
b3024,2776.0
b3025,74.0
b3026,29.0
b3027,0.0
b3028,850.0
b3029,2417.0
b3030,381.0
b3031,106.0
b3032,153.0
b3033,129.0
b3034,223.0
b3035,3141.0
b3037,1348.0
b3038,359.0
b3039,22.0
b3040,217.0
b3041,916.0
b3042,2423.0
b3043,21.0
b3047,4.0
b3048,4.0
b3049,1445.0
b3050,2.0
b3051,2.0
b3052,646.0
b3053,153.0
b3054,370.0
b3055,488.0
b3056,122.0
b3057,224.0
b3058,161.0
b3060,2.0
b3061,0.0
b3062,1.0
b3063,0.0
b3064,493.0
b3065,39044.0
b3066,98.0
b3067,2284.0
b3068,517.0
b3070,307.0
b3071,358.0
b3072,6.0
b3074,14.0
b3075,67.0
b3076,1.0
b3077,5.0
b3078,0.0
b3079,0.0
b3080,1.0
b3081,21.0
b3082,128.0
b3083,10.0
b3084,118.0
b3085,65.0
b3086,1.0
b3087,189.0
b3088,27.0
b3089,586.0
b3090,15.0
b3091,20.0
b3092,102.0
b3093,4.0
b3094,289.0
b3095,209.0
b3096,164.0
b3097,557.0
b3098,10886.0
b3099,691.0
b3100,331.0
b3101,20.0
b3102,195.0
b3103,846.0
b3104,10.0
b3105,216.0
b3106,30.0
b3107,318.0
b3110,1.0
b3113,24.0
b3114,15.0
b3115,8.0
b3116,25.0
b3117,1.0
b3118,1.0
b3119,0.0
b3120,0.0
b3121,1.0
b3124,19.0
b3125,83.0
b3126,10.0
b3127,0.0
b3128,15.0
b3129,348.0
b3130,90.0
b3131,187.0
b3132,5.0
b3133,20.0
b3136,3.0
b3137,2.0
b3138,6.0
b3139,0.0
b3140,2.0
b3141,3.0
b3142,13.0
b3143,1.0
b3144,1.0
b3145,6.0
b3146,226.0
b3147,250.0
b3148,20.0
b3149,239.0
b3150,692.0
b3151,176.0
b3152,129.0
b3153,283.0
b3154,48.0
b3155,20.0
b3156,402.0
b3157,313.0
b3158,3.0
b3159,4.0
b3160,411.0
b3161,43.0
b3162,858.0
b3163,208.0
b3164,3545.0
b3165,25378.0
b3166,214.0
b3167,1133.0
b3168,2855.0
b3169,2195.0
b3170,1220.0
b3172,8231.0
b3173,1.0
b3175,2964.0
b3176,1268.0
b3177,345.0
b3178,1124.0
b3179,325.0
b3180,2765.0
b3181,1510.0
b3182,133.0
b3183,522.0
b3184,23.0
b3185,25031.0
b3186,20068.0
b3187,593.0
b3188,43.0
b3189,887.0
b3190,1705.0
b3191,326.0
b3192,1923.0
b3193,478.0
b3194,149.0
b3195,277.0
b3196,24.0
b3197,470.0
b3198,313.0
b3199,199.0
b3200,853.0
b3201,631.0
b3202,316.0
b3203,2917.0
b3205,587.0
b3206,195.0
b3207,208.0
b3208,22.0
b3209,894.0
b3210,97.0
b3211,1.0
b3212,6013.0
b3213,6079.0
b3214,623.0
b3215,14.0
b3216,3.0
b3219,39.0
b3220,5.0
b3221,136.0
b3222,14.0
b3223,39.0
b3224,2.0
b3225,59.0
b3226,273.0
b3227,0.0
b3228,553.0
b3229,2668.0
b3230,22455.0
b3231,22804.0
b3232,214.0
b3233,1546.0
b3234,482.0
b3235,133.0
b3236,16149.0
b3237,1003.0
b3238,314.0
b3239,184.0
b3240,2.0
b3241,5.0
b3242,5.0
b3243,79.0
b3244,438.0
b3247,370.0
b3248,184.0
b3249,71.0
b3250,176.0
b3251,2393.0
b3252,33.0
b3253,602.0
b3255,5637.0
b3256,1951.0
b3257,56.0
b3258,29.0
b3259,384.0
b3260,110.0
b3261,7711.0
b3262,2.0
b3263,134.0
b3264,1.0
b3266,1.0
b3267,77.0
b3269,1.0
b3270,1.0
b3271,21.0
b3279,804.0
b3280,157.0
b3281,224.0
b3282,378.0
b3283,169.0
b3284,230.0
b3287,673.0
b3288,435.0
b3289,211.0
b3290,153.0
b3291,2481.0
b3292,296.0
b3293,53.0
b3294,23606.0
b3295,8447.0
b3296,25885.0
b3297,19238.0
b3298,19239.0
b3299,15771.0
b3300,1778.0
b3301,16851.0
b3302,18522.0
b3303,16467.0
b3304,18122.0
b3305,16781.0
b3306,13620.0
b3307,22095.0
b3308,19113.0
b3309,17387.0
b3310,18836.0
b3311,22711.0
b3312,13870.0
b3313,20173.0
b3314,19343.0
b3315,19514.0
b3316,19074.0
b3317,17791.0
b3318,17428.0
b3319,18688.0
b3320,19167.0
b3321,18951.0
b3322,5.0
b3323,1.0
b3324,7.0
b3325,5.0
b3326,2.0
b3327,2.0
b3328,2.0
b3329,0.0
b3330,0.0
b3331,0.0
b3332,0.0
b3333,1.0
b3334,6.0
b3335,1.0
b3336,4062.0
b3337,227.0
b3338,30.0
b3340,15930.0
b3341,29110.0
b3342,31150.0
b3343,138.0
b3344,132.0
b3345,137.0
b3346,476.0
b3347,3102.0
b3348,694.0
b3349,7302.0
b3350,26.0
b3351,66.0
b3352,235.0
b3353,73.0
b3354,395.0
b3355,218.0
b3356,1283.0
b3357,3903.0
b3358,41.0
b3359,2537.0
b3360,80.0
b3361,173.0
b3362,459.0
b3363,1179.0
b3364,95.0
b3365,17.0
b3366,17.0
b3367,34.0
b3368,132.0
b3369,14.0
b3370,0.0
b3371,12.0
b3374,3.0
b3375,129.0
b3376,2.0
b3377,1.0
b3378,8.0
b3379,2.0
b3380,0.0
b3381,0.0
b3382,18.0
b3383,35.0
b3384,2698.0
b3385,432.0
b3386,1654.0
b3387,128.0
b3388,826.0
b3389,444.0
b3390,2458.0
b3391,2.0
b3392,1.0
b3393,1.0
b3394,4.0
b3395,12.0
b3396,116.0
b3397,428.0
b3398,78.0
b3399,176.0
b3400,174.0
b3401,952.0
b3402,15.0
b3403,639.0
b3404,43.0
b3405,865.0
b3406,149.0
b3407,825.0
b3408,181.0
b3409,168.0
b3410,50.0
b3411,20.0
b3412,158.0
b3413,2.0
b3414,4329.0
b3415,58.0
b3416,220.0
b3417,744.0
b3418,299.0
b3421,45.0
b3422,6.0
b3423,295.0
b3424,138.0
b3425,330.0
b3426,45.0
b3428,427.0
b3429,622.0
b3430,910.0
b3431,180.0
b3432,448.0
b3433,10592.0
b3434,72.0
b3437,49.0
b3438,158.0
b3439,251.0
b3440,634.0
b3441,113.0
b3442,0.0
b3446,15.0
b3447,360.0
b3448,316.0
b3449,256.0
b3450,125.0
b3451,34.0
b3452,27.0
b3453,317.0
b3454,1162.0
b3455,819.0
b3456,527.0
b3457,708.0
b3458,3960.0
b3459,130.0
b3460,22347.0
b3461,1154.0
b3462,244.0
b3463,320.0
b3464,519.0
b3465,178.0
b3466,127.0
b3467,172.0
b3468,195.0
b3469,16.0
b3470,287.0
b3471,116.0
b3472,1413.0
b3473,26.0
b3474,26.0
b3475,125.0
b3476,10.0
b3477,3.0
b3478,1.0
b3479,4.0
b3480,5.0
b3481,401.0
b3482,0.0
b3483,2.0
b3485,97.0
b3486,147.0
b3487,265.0
b3488,7.0
b3491,27.0
b3492,92.0
b3493,422.0
b3494,402.0
b3495,17441.0
b3496,41.0
b3497,75.0
b3498,908.0
b3499,247.0
b3500,1055.0
b3501,24.0
b3502,8.0
b3503,116.0
b3506,1270.0
b3507,32.0
b3508,30.0
b3509,5467.0
b3510,19005.0
b3511,1108.0
b3512,552.0
b3513,95.0
b3514,33.0
b3515,246.0
b3516,284.0
b3518,4.0
b3519,238.0
b3520,44.0
b3521,29.0
b3522,155.0
b3523,2380.0
b3524,62.0
b3525,2.0
b3526,351.0
b3527,152.0
b3528,107.0
b3529,55.0
b3530,17.0
b3531,15.0
b3532,33.0
b3533,3.0
b3535,243.0
b3536,230.0
b3537,183.0
b3538,129.0
b3539,26.0
b3540,413.0
b3541,367.0
b3542,231.0
b3543,270.0
b3544,5339.0
b3546,26.0
b3547,1.0
b3548,137.0
b3550,18.0
b3551,172.0
b3552,215.0
b3553,1988.0
b3554,1151.0
b3555,2581.0
b3556,2012.0
b3557,5.0
b3558,5.0
b3559,1945.0
b3560,1790.0
b3561,15.0
b3562,1.0
b3563,2.0
b3564,61.0
b3565,13.0
b3566,6.0
b3567,1.0
b3568,4.0
b3569,47.0
b3570,555.0
b3571,19.0
b3572,849.0
b3573,15.0
b3574,206.0
b3575,2.0
b3576,1.0
b3577,0.0
b3578,0.0
b3579,1.0
b3580,1.0
b3581,19.0
b3582,10.0
b3583,14.0
b3584,7.0
b3585,21.0
b3586,1.0
b3587,2.0
b3588,76.0
b3589,0.0
b3590,338.0
b3591,199.0
b3592,386.0
b3593,0.0
b3594,73.0
b3596,5.0
b3597,13.0
b3598,17.0
b3599,197.0
b3600,503.0
b3601,99.0
b3602,1131.0
b3603,33.0
b3604,26.0
b3605,316.0
b3606,145.0
b3607,524.0
b3608,355.0
b3609,5193.0
b3610,2978.0
b3611,1241.0
b3612,2600.0
b3613,106.0
b3614,101.0
b3615,31.0
b3616,263.0
b3617,97.0
b3618,160.0
b3619,2094.0
b3620,184.0
b3621,113.0
b3622,236.0
b3623,99.0
b3624,65.0
b3625,113.0
b3626,97.0
b3627,75.0
b3629,76.0
b3630,77.0
b3631,95.0
b3632,95.0
b3633,144.0
b3634,323.0
b3635,86.0
b3636,29757.0
b3637,33382.0
b3638,4.0
b3639,285.0
b3640,1435.0
b3641,568.0
b3642,119.0
b3643,1017.0
b3644,884.0
b3645,32.0
b3646,7.0
b3647,2.0
b3648,524.0
b3649,7159.0
b3650,158.0
b3651,189.0
b3652,56.0
b3653,108.0
b3654,432.0
b3655,125.0
b3656,8.0
b3657,1.0
b3659,1.0
b3660,99.0
b3661,2248.0
b3662,37.0
b3663,36.0
b3664,0.0
b3665,46.0
b3666,4.0
b3667,14.0
b3668,14.0
b3669,156.0
b3670,1617.0
b3671,1990.0
b3672,1526.0
b3673,0.0
b3674,11.0
b3675,19.0
b3676,60.0
b3677,22.0
b3678,5.0
b3679,0.0
b3680,16.0
b3684,2.0
b3685,45.0
b3686,138.0
b3687,666.0
b3688,440.0
b3689,144.0
b3690,2.0
b3691,0.0
b3693,7.0
b3696,9.0
b3697,602.0
b3698,315.0
b3699,1276.0
b3700,41.0
b3701,529.0
b3702,290.0
b3703,28497.0
b3704,363.0
b3705,1094.0
b3706,247.0
b3707,55.0
b3708,16.0
b3709,0.0
b3710,10.0
b3711,25.0
b3712,36.0
b3713,780.0
b3714,576.0
b3715,80.0
b3716,7.0
b3717,23.0
b3718,17.0
b3719,7.0
b3720,1.0
b3721,3.0
b3722,0.0
b3723,0.0
b3724,797.0
b3725,955.0
b3726,195.0
b3727,163.0
b3728,2121.0
b3729,2254.0
b3730,795.0
b3731,3640.0
b3732,8213.0
b3733,3131.0
b3734,9565.0
b3735,2677.0
b3736,4477.0
b3737,23624.0
b3738,3471.0
b3739,67.0
b3740,268.0
b3741,500.0
b3742,953.0
b3743,156.0
b3744,794.0
b3745,33.0
b3746,119.0
b3747,75.0
b3748,114.0
b3749,56.0
b3750,66.0
b3751,780.0
b3752,144.0
b3753,30.0
b3754,10.0
b3755,370.0
b3764,7863.0
b3765,2.0
b3766,4076.0
b3769,279.0
b3770,2671.0
b3771,675.0
b3772,400.0
b3773,33.0
b3774,29455.0
b3775,1330.0
b3778,102.0
b3779,153.0
b3780,1055.0
b3781,9265.0
b3783,3478.0
b3784,232.0
b3785,210.0
b3786,200.0
b3787,185.0
b3788,158.0
b3789,115.0
b3790,39.0
b3791,289.0
b3792,21.0
b3793,26.0
b3794,121.0
b3795,173.0
b3800,1.0
b3801,5.0
b3802,305.0
b3803,543.0
b3804,96.0
b3806,263.0
b3807,963.0
b3809,294.0
b3810,278.0
b3811,212.0
b3812,281.0
b3813,126.0
b3816,463.0
b3817,16.0
b3818,0.0
b3819,43.0
b3820,541.0
b3821,273.0
b3822,63.0
b3823,239.0
b3824,166.0
b3825,81.0
b3826,295.0
b3827,39.0
b3828,398.0
b3829,63552.0
b3830,1063.0
b3831,2011.0
b3832,16.0
b3833,1229.0
b3834,278.0
b3835,72.0
b3836,2926.0
b3838,293.0
b3839,189.0
b3842,193.0
b3843,295.0
b3844,759.0
b3845,75.0
b3846,64.0
b3847,1223.0
b3848,77.0
b3849,59.0
b3850,329.0
b3856,86.0
b3857,94.0
b3858,1585.0
b3859,104.0
b3860,2628.0
b3861,2.0
b3862,32.0
b3863,541.0
b3865,892.0
b3866,1430.0
b3867,305.0
b3868,274.0
b3869,82.0
b3870,14311.0
b3871,3215.0
b3872,25.0
